,Relevant,MouseMs,LogId,Classes,RssId,Readability,Novelty,PageMs,UserId,Authority,UserLike,UserLikeBinary,ConditionalFreq,MeanConditionalFreq
97,4.0,12509,7822,['broadway'],8,1.0,5.0,174250.0,51,1.0,4,1,0.018406854966677245,0.018406854966677245
98,5.0,6498,7830,['television'],8,1.0,5.0,69375.0,51,1.0,4,1,0.006029831799428753,0.006029831799428753
99,4.0,7594,7832,['broadway'],8,1.0,5.0,82031.0,51,1.0,4,1,0.018406854966677245,0.018406854966677245
101,4.0,1923,7844,['broadway'],8195,1.0,5.0,88702.0,51,1.0,4,1,0.018406854966677245,0.018406854966677245
102,5.0,110,7845,['broadway'],8,1.0,5.0,688.0,51,1.0,4,1,0.018406854966677245,0.018406854966677245
119,4.0,3213,7944,['news'],8181,1.0,5.0,27282.0,51,1.0,4,1,0.007616629641383688,0.007616629641383688
122,4.0,1032,7956,['broadway'],8153,1.0,5.0,35485.0,51,1.0,4,1,0.018406854966677245,0.018406854966677245
125,4.0,1311,8282,['movies'],8195,1.0,5.0,48327.0,51,1.0,4,1,0.012694382735639479,0.012694382735639479
126,2.0,7077,8283,['movies'],2090,1.0,5.0,28515.0,51,0.0,1,0,0.02875816993464052,0.02875816993464052
127,1.0,5531,8284,['movies'],1030,1.0,5.0,26063.0,51,0.0,4,1,0.012694382735639479,0.012694382735639479
128,4.0,5799,8285,['movies'],6534,1.0,5.0,24078.0,51,0.0,4,1,0.012694382735639479,0.012694382735639479
129,1.0,1265,8286,['news'],6850,1.0,5.0,13923.0,51,0.0,3,0,0.006918238993710692,0.006918238993710692
133,5.0,31,8290,['broadway'],8157,1.0,5.0,53718.0,51,1.0,5,1,0.003931847968545216,0.003931847968545216
140,5.0,9034,8935,['broadway'],8195,1.0,5.0,140984.0,51,1.0,5,1,0.003931847968545216,0.003931847968545216
141,4.0,453,8936,['broadway'],8195,1.0,2.0,20484.0,51,1.0,4,1,0.018406854966677245,0.018406854966677245
142,4.0,941,8937,['broadway'],8195,1.0,5.0,83966.0,51,1.0,4,1,0.018406854966677245,0.018406854966677245
143,4.0,2280,8938,['television'],8184,1.0,5.0,131124.0,51,1.0,4,1,0.006029831799428753,0.006029831799428753
144,5.0,1376,8939,['movies'],8182,1.0,5.0,75063.0,51,1.0,4,1,0.012694382735639479,0.012694382735639479
145,5.0,11644,8940,['movies'],8203,1.0,5.0,123142.0,51,1.0,4,1,0.012694382735639479,0.012694382735639479
146,3.0,2368,8941,['movies'],8203,1.0,5.0,76546.0,51,1.0,3,0,0.014465408805031447,0.014465408805031447
147,4.0,406,8942,['television'],8203,1.0,5.0,33970.0,51,1.0,3,0,0.005031446540880503,0.005031446540880503
148,5.0,547,8943,['broadway'],8,1.0,2.0,47968.0,51,1.0,4,1,0.018406854966677245,0.018406854966677245
149,4.0,1751,8944,['broadway'],8,1.0,3.0,108579.0,51,1.0,4,1,0.018406854966677245,0.018406854966677245
150,4.0,2135,8945,['music'],8,1.0,1.0,6969.0,51,1.0,4,1,0.0171374166931133,0.0171374166931133
151,3.0,561,8946,['television'],8,1.0,1.0,1359.0,51,1.0,3,0,0.005031446540880503,0.005031446540880503
152,4.0,923,8947,['broadway'],8,1.0,5.0,7891.0,51,1.0,4,1,0.018406854966677245,0.018406854966677245
153,4.0,1453,8948,['broadway'],8,1.0,1.0,6922.0,51,1.0,4,1,0.018406854966677245,0.018406854966677245
154,4.0,1575,8949,['news'],8195,1.0,1.0,23001.0,51,1.0,3,0,0.006918238993710692,0.006918238993710692
155,3.0,843,8950,['movies'],8157,1.0,1.0,2438.0,51,1.0,3,0,0.014465408805031447,0.014465408805031447
156,4.0,6094,8952,['music'],8203,1.0,5.0,134312.0,51,1.0,4,1,0.0171374166931133,0.0171374166931133
157,2.0,2075,8954,['news'],8184,1.0,5.0,21000.0,51,1.0,4,1,0.007616629641383688,0.007616629641383688
158,3.0,2953,8955,['movies'],8157,1.0,5.0,40939.0,51,1.0,4,1,0.012694382735639479,0.012694382735639479
159,4.0,4138,8957,['movies'],17,1.0,5.0,65640.0,51,1.0,4,1,0.012694382735639479,0.012694382735639479
160,4.0,2282,8958,['movies'],8156,1.0,2.0,25422.0,51,1.0,4,1,0.012694382735639479,0.012694382735639479
161,4.0,1171,8960,['news'],15,1.0,5.0,110142.0,51,1.0,4,1,0.007616629641383688,0.007616629641383688
162,4.0,6353,8961,['movies'],1788,1.0,5.0,19000.0,51,0.0,1,0,0.02875816993464052,0.02875816993464052
163,4.0,360,8964,['television'],8,1.0,5.0,8422.0,51,1.0,4,1,0.006029831799428753,0.006029831799428753
164,4.0,2648,8965,['television'],8,1.0,5.0,56734.0,51,1.0,4,1,0.006029831799428753,0.006029831799428753
165,4.0,859,8967,['television'],232,1.0,5.0,8875.0,51,0.0,1,0,0.00130718954248366,0.00130718954248366
166,4.0,3779,8968,['television'],8182,1.0,5.0,38782.0,51,1.0,4,1,0.006029831799428753,0.006029831799428753
167,4.0,548,8970,['television'],8182,1.0,5.0,1344.0,51,1.0,3,0,0.005031446540880503,0.005031446540880503
168,4.0,3313,8971,['television'],13,1.0,3.0,70375.0,51,1.0,3,0,0.005031446540880503,0.005031446540880503
169,4.0,2187,8972,['news'],8190,1.0,5.0,10735.0,51,1.0,4,1,0.007616629641383688,0.007616629641383688
170,4.0,1298,8975,['news'],14,1.0,5.0,42515.0,51,1.0,4,1,0.007616629641383688,0.007616629641383688
171,4.0,3798,8979,['news'],8185,1.0,5.0,17625.0,51,1.0,3,0,0.006918238993710692,0.006918238993710692
172,4.0,736,8980,['broadway'],38,1.0,5.0,6969.0,51,0.0,1,0,0.00130718954248366,0.00130718954248366
175,5.0,639,9416,['broadway'],8156,1.0,2.0,29765.0,51,1.0,5,1,0.003931847968545216,0.003931847968545216
176,5.0,4018,9417,['broadway'],8197,1.0,5.0,119782.0,51,1.0,4,1,0.018406854966677245,0.018406854966677245
177,4.0,3222,9418,['news'],8,1.0,5.0,66937.0,51,1.0,4,1,0.007616629641383688,0.007616629641383688
180,4.0,2374,9421,['broadway'],8156,1.0,5.0,65875.0,51,1.0,4,1,0.018406854966677245,0.018406854966677245
181,5.0,2518,9422,['news'],1890,1.0,5.0,43594.0,51,0.0,5,1,0.005242463958060288,0.005242463958060288
182,5.0,2737,9423,['music'],8,1.0,5.0,64454.0,51,1.0,4,1,0.0171374166931133,0.0171374166931133
188,4.0,1188,9429,['television'],8,1.0,5.0,62218.0,51,1.0,4,1,0.006029831799428753,0.006029831799428753
198,4.0,3988,9439,['broadway'],8,1.0,5.0,36969.0,51,1.0,4,1,0.018406854966677245,0.018406854966677245
200,4.0,421,9441,['broadway'],8,1.0,5.0,1171.0,51,1.0,4,1,0.018406854966677245,0.018406854966677245
204,4.0,1423,9445,['broadway'],8173,1.0,5.0,29719.0,51,1.0,4,1,0.018406854966677245,0.018406854966677245
206,4.0,374,9447,['broadway'],8173,1.0,5.0,1218.0,51,1.0,4,1,0.018406854966677245,0.018406854966677245
207,5.0,1673,9448,['broadway'],8173,1.0,5.0,50031.0,51,1.0,4,1,0.018406854966677245,0.018406854966677245
208,4.0,921,9449,['broadway'],8173,1.0,5.0,38718.0,51,1.0,4,1,0.018406854966677245,0.018406854966677245
209,4.0,1156,9450,['broadway'],8173,1.0,5.0,63938.0,51,1.0,4,1,0.018406854966677245,0.018406854966677245
210,4.0,1932,9451,['broadway'],8173,1.0,4.0,48047.0,51,1.0,4,1,0.018406854966677245,0.018406854966677245
211,4.0,4442,9452,['broadway'],8173,1.0,4.0,20594.0,51,1.0,4,1,0.018406854966677245,0.018406854966677245
212,4.0,250,9453,['broadway'],8173,1.0,5.0,1421.0,51,1.0,4,1,0.018406854966677245,0.018406854966677245
213,4.0,641,9454,['broadway'],8173,1.0,5.0,27297.0,51,1.0,4,1,0.018406854966677245,0.018406854966677245
214,4.0,6141,9455,['broadway'],8173,1.0,5.0,56001.0,51,1.0,3,0,0.0018867924528301887,0.0018867924528301887
215,4.0,453,9456,['broadway'],8173,1.0,5.0,43891.0,51,1.0,4,1,0.018406854966677245,0.018406854966677245
216,4.0,1536,9457,['broadway'],8173,1.0,4.0,29671.0,51,1.0,4,1,0.018406854966677245,0.018406854966677245
217,4.0,981,9458,['broadway'],8,1.0,4.0,12468.0,51,1.0,4,1,0.018406854966677245,0.018406854966677245
218,4.0,484,9459,['broadway'],8173,1.0,5.0,1437.0,51,1.0,4,1,0.018406854966677245,0.018406854966677245
219,4.0,4062,9460,['broadway'],8173,1.0,5.0,43031.0,51,1.0,4,1,0.018406854966677245,0.018406854966677245
220,4.0,2345,9461,['broadway'],8173,1.0,5.0,55267.0,51,1.0,4,1,0.018406854966677245,0.018406854966677245
221,5.0,1374,9462,['broadway'],8173,1.0,4.0,62923.0,51,1.0,4,1,0.018406854966677245,0.018406854966677245
222,4.0,62,9463,['broadway'],8173,1.0,4.0,17720.0,51,1.0,4,1,0.018406854966677245,0.018406854966677245
223,4.0,2234,9464,['broadway'],8173,1.0,5.0,35470.0,51,1.0,4,1,0.018406854966677245,0.018406854966677245
224,4.0,188,9465,['broadway'],8173,1.0,5.0,1016.0,51,1.0,4,1,0.018406854966677245,0.018406854966677245
225,4.0,469,9466,['broadway'],8173,1.0,5.0,126688.0,51,1.0,4,1,0.018406854966677245,0.018406854966677245
226,4.0,1018,9467,['broadway'],8173,1.0,5.0,27563.0,51,1.0,4,1,0.018406854966677245,0.018406854966677245
227,4.0,2652,9468,['broadway'],8,1.0,5.0,18015.0,51,1.0,4,1,0.018406854966677245,0.018406854966677245
228,4.0,719,9469,['broadway'],8173,1.0,5.0,27470.0,51,1.0,4,1,0.018406854966677245,0.018406854966677245
229,4.0,892,9470,['broadway'],8,1.0,4.0,41172.0,51,1.0,4,1,0.018406854966677245,0.018406854966677245
230,4.0,2168,9471,['music'],8173,1.0,5.0,29655.0,51,1.0,4,1,0.0171374166931133,0.0171374166931133
231,4.0,1223,18397,['news'],8156,1.0,5.0,186812.0,51,1.0,4,1,0.007616629641383688,0.007616629641383688
232,4.0,1344,18398,['music'],8197,1.0,5.0,112406.0,51,1.0,4,1,0.0171374166931133,0.0171374166931133
233,4.0,1939,18399,['music'],8156,1.0,5.0,92140.0,51,1.0,4,1,0.0171374166931133,0.0171374166931133
234,4.0,580,18400,['movies'],8184,1.0,4.0,1500.0,51,1.0,4,1,0.012694382735639479,0.012694382735639479
235,4.0,812,18401,['movies'],8154,1.0,5.0,125905.0,51,1.0,3,0,0.014465408805031447,0.014465408805031447
236,4.0,1014,18402,['music'],8156,1.0,5.0,109188.0,51,1.0,4,1,0.0171374166931133,0.0171374166931133
237,4.0,251,18403,['music'],8181,1.0,5.0,26281.0,51,1.0,4,1,0.0171374166931133,0.0171374166931133
238,4.0,468,18405,['music'],8181,1.0,5.0,37249.0,51,1.0,5,1,0.01703800786369594,0.01703800786369594
239,5.0,2593,18429,['movies'],8181,1.0,5.0,277935.0,51,1.0,4,1,0.012694382735639479,0.012694382735639479
241,4.0,359,21170,['television'],8,1.0,5.0,208358.0,51,1.0,4,1,0.006029831799428753,0.006029831799428753
242,4.0,3690,21171,['movies'],8,1.0,5.0,29968.0,51,1.0,4,1,0.012694382735639479,0.012694382735639479
243,4.0,5248,21172,['television'],8283,1.0,5.0,29297.0,51,1.0,2,0,0.0038363171355498722,0.0038363171355498722
245,4.0,10061,21177,['movies'],8156,1.0,5.0,35594.0,51,1.0,4,1,0.012694382735639479,0.012694382735639479
246,4.0,4542,21178,['broadway'],8,1.0,5.0,31641.0,51,1.0,4,1,0.018406854966677245,0.018406854966677245
248,4.0,16514,21180,['television'],8156,1.0,5.0,56266.0,51,1.0,4,1,0.006029831799428753,0.006029831799428753
249,4.0,3228,21181,['broadway'],8197,1.0,5.0,12455.0,51,1.0,4,1,0.018406854966677245,0.018406854966677245
250,4.0,1156,21182,['television'],8197,1.0,5.0,121999.0,51,1.0,5,1,0.003931847968545216,0.003931847968545216
251,4.0,906,21183,['broadway'],8,1.0,5.0,40626.0,51,1.0,4,1,0.018406854966677245,0.018406854966677245
252,4.0,515,21184,['broadway'],8,1.0,5.0,65267.0,51,1.0,4,1,0.018406854966677245,0.018406854966677245
253,4.0,1846,21185,['broadway'],8,1.0,4.0,6985.0,51,1.0,4,1,0.018406854966677245,0.018406854966677245
254,4.0,6984,21186,['television'],8,1.0,5.0,78251.0,51,1.0,4,1,0.006029831799428753,0.006029831799428753
255,4.0,9295,21187,['broadway'],8,1.0,5.0,27984.0,51,1.0,3,0,0.0018867924528301887,0.0018867924528301887
256,4.0,1127,21188,['television'],8181,1.0,3.0,189188.0,51,1.0,4,1,0.006029831799428753,0.006029831799428753
257,3.0,5263,21189,['movies'],8,1.0,5.0,20845.0,51,1.0,4,1,0.012694382735639479,0.012694382735639479
258,4.0,4453,21191,['news'],8156,1.0,5.0,30859.0,51,1.0,4,1,0.007616629641383688,0.007616629641383688
259,5.0,1341,21192,['movies'],2,1.0,5.0,59469.0,51,1.0,2,0,0.015345268542199489,0.015345268542199489
260,4.0,2652,21250,['broadway'],8,1.0,4.0,46484.0,51,1.0,4,1,0.018406854966677245,0.018406854966677245
261,4.0,4123,21251,['broadway'],8195,1.0,3.0,93843.0,51,1.0,4,1,0.018406854966677245,0.018406854966677245
262,5.0,6831,21252,['news'],8,1.0,5.0,12047.0,51,1.0,5,1,0.005242463958060288,0.005242463958060288
263,3.0,4440,21253,['broadway'],8190,1.0,5.0,80484.0,51,0.0,3,0,0.0018867924528301887,0.0018867924528301887
264,4.0,1484,21266,['theatre'],8195,1.0,4.0,20032.0,51,1.0,3,0,0.0006289308176100629,0.0006289308176100629
265,4.0,9406,21267,['theatre'],8156,1.0,5.0,70468.0,51,1.0,2,0,0.0038363171355498722,0.0038363171355498722
266,4.0,15392,21268,['television'],8156,1.0,5.0,73359.0,51,1.0,4,1,0.006029831799428753,0.006029831799428753
267,4.0,12190,21269,['music'],8156,1.0,4.0,76812.0,51,1.0,4,1,0.0171374166931133,0.0171374166931133
268,1.0,250,21270,['theatre'],8071,1.0,5.0,37156.0,51,0.0,1,0,0.00130718954248366,0.00130718954248366
269,4.0,6077,21273,['theatre'],8,1.0,5.0,39812.0,51,1.0,4,1,0.0006347191367819739,0.0006347191367819739
270,3.0,1857,21274,['music'],1279,1.0,5.0,25906.0,51,0.0,2,0,0.017902813299232736,0.017902813299232736
271,5.0,641,21275,['theatre'],2388,1.0,5.0,2984.0,51,0.0,2,0,0.0038363171355498722,0.0038363171355498722
272,4.0,3360,21276,['theatre'],8156,1.0,5.0,45188.0,51,1.0,4,1,0.0006347191367819739,0.0006347191367819739
273,2.0,10250,21279,['television'],771,1.0,5.0,24437.0,51,0.0,2,0,0.0038363171355498722,0.0038363171355498722
274,5.0,4396,21280,['television'],8,1.0,5.0,92235.0,51,1.0,5,1,0.003931847968545216,0.003931847968545216
275,4.0,6432,21281,['television'],8,1.0,5.0,78828.0,51,1.0,5,1,0.003931847968545216,0.003931847968545216
276,4.0,984,21282,['television'],8,1.0,5.0,125922.0,51,1.0,4,1,0.006029831799428753,0.006029831799428753
277,5.0,7549,21283,['movies'],8,1.0,5.0,28547.0,51,1.0,5,1,0.01703800786369594,0.01703800786369594
278,4.0,1344,21290,['news'],8,1.0,5.0,5922.0,51,1.0,4,1,0.007616629641383688,0.007616629641383688
279,4.0,24424,21311,['news'],8154,1.0,5.0,70280.0,51,1.0,4,1,0.007616629641383688,0.007616629641383688
280,4.0,4714,21312,['movies'],2,1.0,5.0,50874.0,51,1.0,4,1,0.012694382735639479,0.012694382735639479
281,4.0,12023,21313,['news'],2,1.0,5.0,32829.0,51,1.0,4,1,0.007616629641383688,0.007616629641383688
282,4.0,8961,21314,['election'],2,1.0,5.0,39765.0,51,1.0,4,1,0.0015867978419549348,0.0015867978419549348
283,5.0,7730,21315,['election'],6,1.0,5.0,25610.0,51,1.0,4,1,0.0015867978419549348,0.0015867978419549348
284,4.0,10648,21316,['election'],6,1.0,5.0,134748.0,51,1.0,3,0,0.0018867924528301887,0.0018867924528301887
285,3.0,375,21317,['election'],6,1.0,5.0,2047.0,51,1.0,3,0,0.0018867924528301887,0.0018867924528301887
286,4.0,19864,21318,['television'],6,1.0,5.0,182047.0,51,1.0,4,1,0.006029831799428753,0.006029831799428753
287,4.0,19849,21319,['movies'],8,1.0,5.0,414595.0,51,1.0,4,1,0.012694382735639479,0.012694382735639479
288,4.0,5425,21320,['movies'],8,1.0,5.0,212672.0,51,1.0,5,1,0.01703800786369594,0.01703800786369594
289,3.0,19129,21321,['news'],8,1.0,5.0,53702.0,51,1.0,3,0,0.006918238993710692,0.006918238993710692
290,1.0,1267,21322,['election'],10,1.0,4.0,12875.0,51,1.0,3,0,0.0018867924528301887,0.0018867924528301887
291,5.0,2265,21323,['news'],10,1.0,5.0,16734.0,51,1.0,5,1,0.005242463958060288,0.005242463958060288
292,1.0,266,21324,['news'],10,1.0,5.0,26547.0,51,1.0,2,0,0.00639386189258312,0.00639386189258312
293,4.0,7598,21325,['news'],12,1.0,5.0,133359.0,51,1.0,4,1,0.007616629641383688,0.007616629641383688
294,5.0,6400,21326,"['music', 'television']",14,1.0,4.0,54188.0,51,1.0,2,0,6.868086943439668e-05,0.010869565217391304
295,5.0,0,21327,['religion'],15,1.0,5.0,2047.0,51,1.0,5,1,0.0045871559633027525,0.0045871559633027525
296,5.0,8429,21328,['television'],15,1.0,5.0,93219.0,51,1.0,5,1,0.003931847968545216,0.003931847968545216
297,4.0,12307,21329,['television'],2,1.0,4.0,146093.0,51,1.0,5,1,0.003931847968545216,0.003931847968545216
298,4.0,969,21330,['music'],8184,1.0,5.0,146173.0,51,1.0,4,1,0.0171374166931133,0.0171374166931133
299,4.0,2758,21342,['news'],8181,1.0,5.0,22750.0,51,1.0,4,1,0.007616629641383688,0.007616629641383688
300,4.0,1311,21343,['movies'],10,1.0,5.0,29063.0,51,1.0,4,1,0.012694382735639479,0.012694382735639479
302,4.0,9473,21345,['television'],8203,1.0,5.0,69719.0,51,1.0,4,1,0.006029831799428753,0.006029831799428753
303,4.0,13253,21346,"['election', 'broadway']",8182,1.0,5.0,183016.0,51,1.0,4,1,2.9207957738300928e-05,0.00999682640431609
304,5.0,1203,21347,['broadway'],8205,1.0,5.0,21735.0,51,1.0,5,1,0.003931847968545216,0.003931847968545216
305,5.0,7717,21348,['broadway'],8,1.0,5.0,119250.0,51,1.0,5,1,0.003931847968545216,0.003931847968545216
306,5.0,3714,21349,['broadway'],8156,1.0,3.0,20750.0,51,1.0,5,1,0.003931847968545216,0.003931847968545216
307,5.0,1828,21350,['election'],8,1.0,1.0,13843.0,51,1.0,5,1,0.001310615989515072,0.001310615989515072
308,5.0,3183,21351,['iraq'],10,1.0,5.0,47172.0,51,1.0,4,1,0.04443033957473818,0.04443033957473818
309,3.0,625,481,['iraq'],2,1.0,4.0,4593.0,56,1.0,4,1,0.04443033957473818,0.04443033957473818
310,4.0,687,482,['studies'],2,1.0,4.0,44970.0,56,1.0,4,1,0.0006347191367819739,0.0006347191367819739
311,4.0,734,1541,['world'],10,1.0,5.0,142048.0,56,1.0,5,1,0.00655307994757536,0.00655307994757536
314,4.0,765,1452,['familar'],3,1.0,4.0,118515.0,56,1.0,4,1,0.0031735956839098697,0.0031735956839098697
316,3.0,782,1393,['studies'],15,1.0,3.0,76406.0,56,1.0,3,0,0.0006289308176100629,0.0006289308176100629
317,3.0,1488,1390,['familar'],11,1.0,4.0,114844.0,56,1.0,4,1,0.0031735956839098697,0.0031735956839098697
319,4.0,828,1337,['iraq'],5,1.0,5.0,144314.0,56,1.0,4,1,0.04443033957473818,0.04443033957473818
321,3.0,625,1317,['familar'],2,1.0,4.0,35249.0,56,1.0,4,1,0.0031735956839098697,0.0031735956839098697
322,3.0,764,1314,['iraq'],15,0.0,3.0,256169.0,56,1.0,3,0,0.033962264150943396,0.033962264150943396
326,4.0,687,1580,['world'],2,1.0,4.0,136220.0,56,1.0,4,1,0.014598540145985401,0.014598540145985401
330,4.0,1254,1656,"['people', 'weird', 'ebay', 'united']",8,1.0,4.0,124672.0,56,1.0,4,1,2.1131841967287888e-10,0.010076166296413837
331,4.0,1858,1739,"['intersting', 'united']",5,1.0,5.0,118296.0,56,1.0,5,1,8.588571359862858e-07,0.0009829619921363042
332,5.0,1171,1746,"['weather', 'united']",12,1.0,5.0,412735.0,56,1.0,5,1,1.7177142719725716e-06,0.001310615989515072
333,5.0,3297,1747,"['people', 'health', 'biomedical']",2,1.0,5.0,74065.0,56,1.0,4,1,4.030857346284872e-06,0.03438061990902359
334,3.0,924,1752,"['privacy', 'holywood', 'copyrights', 'secutiry']",9,1.0,4.0,102203.0,56,1.0,3,0,6.258517832991766e-13,0.0009433962264150943
335,4.0,1297,1754,"['politics', 'world']",5,1.0,5.0,107813.0,56,1.0,4,1,0.0009219642935738162,0.03887654712789591
336,4.0,1044,1756,"['interesting', 'rights', 'world']",10,1.0,5.0,108829.0,56,1.0,4,1,5.146128974782444e-07,0.009626573574526604
337,4.0,470,1760,"['celebrities', 'people', 'united']",14,1.0,4.0,167530.0,56,1.0,4,1,3.210417355448128e-07,0.013117528826827462
339,4.0,1702,1790,"['people', 'science']",8,1.0,4.0,122813.0,56,1.0,4,1,0.0022573722647880644,0.052999047921294826
340,4.0,375,1797,"['sad', 'world']",9,1.0,5.0,107860.0,56,1.0,4,1,6.02288231982895e-05,0.009362107267534116
341,4.0,1376,1803,"['interesting', 'science']",13,1.0,4.0,323329.0,56,1.0,4,1,0.0008495487018019599,0.043795620437956206
342,4.0,1439,1805,"['politics', 'funny', 'world']",12,1.0,5.0,179938.0,56,1.0,4,1,2.9259419028048752e-06,0.026975563313233895
344,4.0,1077,1814,"['interesting', 'studies']",10,1.0,5.0,68407.0,56,1.0,4,1,7.050196695451948e-06,0.005871152015233259
346,4.0,1484,1823,"['backup', 'united']",12,1.0,4.0,139922.0,56,1.0,4,1,4.028683825972541e-07,0.0007933989209774674
347,5.0,2045,1827,"['rights', 'privacy', 'science']",5,1.0,5.0,67891.0,56,1.0,4,1,7.703211695171236e-08,0.026658203744842904
348,4.0,1188,1833,['law'],9,1.0,4.0,144765.0,56,1.0,4,1,0.005395112662646779,0.005395112662646779
349,4.0,1283,1834,"['accesories', 'music', 'technology', 'united']",3,1.0,4.0,116702.0,56,1.0,4,1,4.1411593532669007e-10,0.019676293240241192
350,5.0,782,1837,"['rights', 'weird', 'science']",5,1.0,5.0,186907.0,56,1.0,5,1,2.53267176404868e-08,0.020096111839231105
351,4.0,595,1838,"['people', 'science']",10,1.0,5.0,118329.0,56,1.0,5,1,0.00023189142671629714,0.03145478374836173
352,4.0,374,1846,"['politics', 'world']",9,1.0,5.0,201610.0,56,1.0,4,1,0.0009219642935738162,0.03887654712789591
353,3.0,658,1856,"['alqaeda', 'world']",12,1.0,4.0,104328.0,56,1.0,4,1,2.3164931999342113e-05,0.008092668993970167
354,4.0,1233,1858,"['people', 'science']",13,1.0,4.0,107438.0,56,1.0,4,1,0.0022573722647880644,0.052999047921294826
355,4.0,532,1859,"['secutiry', 'internet', 'science']",9,1.0,5.0,180201.0,56,1.0,4,1,4.2367664323441795e-07,0.027187136358827885
356,4.0,16,1864,"['amazing', 'studies']",5,1.0,5.0,206266.0,56,1.0,5,1,4.294285679931429e-07,0.000655307994757536
357,4.0,891,1865,"['technology', 'health', 'biomedical']",11,1.0,5.0,196798.0,56,1.0,5,1,2.032046978688391e-06,0.037352555701179554
358,4.0,1564,1867,"['suicide bombings', 'sad', 'alqaeda', 'law', 'usa', 'current issues', 'iraq']",3,1.0,4.0,63672.0,56,1.0,5,1,9.680850602928526e-19,0.010953005055233101
359,4.0,2434,1912,"['weather', 'usa', 'current issues']",2,1.0,4.0,257141.0,56,1.0,4,1,1.4623316807223405e-07,0.03311118163545964
360,4.0,7472,1913,"['show business', 'celebrities', 'people', 'law']",2,1.0,4.0,114000.0,56,1.0,4,1,2.5980844990138774e-09,0.011345604569977784
361,4.0,2390,1914,"['suicide bombings', 'sad', 'alqaeda', 'politics', 'secutiry', 'current issues', 'iraq']",2,1.0,4.0,155687.0,56,1.0,4,1,2.935794488670221e-17,0.016729382962324884
362,4.0,7969,1915,"['interesting', 'politics', 'usa']",2,1.0,4.0,243500.0,56,1.0,4,1,6.790093437487402e-05,0.05701893578758066
