,Relevant,MouseMs,LogId,Classes,RssId,Readability,Novelty,PageMs,UserId,Authority,UserLike,UserLikeBinary
128,4.0,5799,8285,['movies'],6534,1.0,5.0,24078.0,51,0.0,4,1
129,1.0,1265,8286,['news'],6850,1.0,5.0,13923.0,51,0.0,3,0
133,5.0,31,8290,['broadway'],8157,1.0,5.0,53718.0,51,1.0,5,1
140,5.0,9034,8935,['broadway'],8195,1.0,5.0,140984.0,51,1.0,5,1
141,4.0,453,8936,['broadway'],8195,1.0,2.0,20484.0,51,1.0,4,1
142,4.0,941,8937,['broadway'],8195,1.0,5.0,83966.0,51,1.0,4,1
143,4.0,2280,8938,['television'],8184,1.0,5.0,131124.0,51,1.0,4,1
144,5.0,1376,8939,['movies'],8182,1.0,5.0,75063.0,51,1.0,4,1
145,5.0,11644,8940,['movies'],8203,1.0,5.0,123142.0,51,1.0,4,1
146,3.0,2368,8941,['movies'],8203,1.0,5.0,76546.0,51,1.0,3,0
147,4.0,406,8942,['television'],8203,1.0,5.0,33970.0,51,1.0,3,0
148,5.0,547,8943,['broadway'],8,1.0,2.0,47968.0,51,1.0,4,1
149,4.0,1751,8944,['broadway'],8,1.0,3.0,108579.0,51,1.0,4,1
150,4.0,2135,8945,['music'],8,1.0,1.0,6969.0,51,1.0,4,1
151,3.0,561,8946,['television'],8,1.0,1.0,1359.0,51,1.0,3,0
152,4.0,923,8947,['broadway'],8,1.0,5.0,7891.0,51,1.0,4,1
153,4.0,1453,8948,['broadway'],8,1.0,1.0,6922.0,51,1.0,4,1
154,4.0,1575,8949,['news'],8195,1.0,1.0,23001.0,51,1.0,3,0
155,3.0,843,8950,['movies'],8157,1.0,1.0,2438.0,51,1.0,3,0
156,4.0,6094,8952,['music'],8203,1.0,5.0,134312.0,51,1.0,4,1
157,2.0,2075,8954,['news'],8184,1.0,5.0,21000.0,51,1.0,4,1
158,3.0,2953,8955,['movies'],8157,1.0,5.0,40939.0,51,1.0,4,1
159,4.0,4138,8957,['movies'],17,1.0,5.0,65640.0,51,1.0,4,1
160,4.0,2282,8958,['movies'],8156,1.0,2.0,25422.0,51,1.0,4,1
161,4.0,1171,8960,['news'],15,1.0,5.0,110142.0,51,1.0,4,1
162,4.0,6353,8961,['movies'],1788,1.0,5.0,19000.0,51,0.0,1,0
163,4.0,360,8964,['television'],8,1.0,5.0,8422.0,51,1.0,4,1
164,4.0,2648,8965,['television'],8,1.0,5.0,56734.0,51,1.0,4,1
165,4.0,859,8967,['television'],232,1.0,5.0,8875.0,51,0.0,1,0
166,4.0,3779,8968,['television'],8182,1.0,5.0,38782.0,51,1.0,4,1
167,4.0,548,8970,['television'],8182,1.0,5.0,1344.0,51,1.0,3,0
168,4.0,3313,8971,['television'],13,1.0,3.0,70375.0,51,1.0,3,0
169,4.0,2187,8972,['news'],8190,1.0,5.0,10735.0,51,1.0,4,1
170,4.0,1298,8975,['news'],14,1.0,5.0,42515.0,51,1.0,4,1
171,4.0,3798,8979,['news'],8185,1.0,5.0,17625.0,51,1.0,3,0
172,4.0,736,8980,['broadway'],38,1.0,5.0,6969.0,51,0.0,1,0
175,5.0,639,9416,['broadway'],8156,1.0,2.0,29765.0,51,1.0,5,1
176,5.0,4018,9417,['broadway'],8197,1.0,5.0,119782.0,51,1.0,4,1
177,4.0,3222,9418,['news'],8,1.0,5.0,66937.0,51,1.0,4,1
180,4.0,2374,9421,['broadway'],8156,1.0,5.0,65875.0,51,1.0,4,1
181,5.0,2518,9422,['news'],1890,1.0,5.0,43594.0,51,0.0,5,1
182,5.0,2737,9423,['music'],8,1.0,5.0,64454.0,51,1.0,4,1
188,4.0,1188,9429,['television'],8,1.0,5.0,62218.0,51,1.0,4,1
198,4.0,3988,9439,['broadway'],8,1.0,5.0,36969.0,51,1.0,4,1
200,4.0,421,9441,['broadway'],8,1.0,5.0,1171.0,51,1.0,4,1
204,4.0,1423,9445,['broadway'],8173,1.0,5.0,29719.0,51,1.0,4,1
206,4.0,374,9447,['broadway'],8173,1.0,5.0,1218.0,51,1.0,4,1
207,5.0,1673,9448,['broadway'],8173,1.0,5.0,50031.0,51,1.0,4,1
208,4.0,921,9449,['broadway'],8173,1.0,5.0,38718.0,51,1.0,4,1
209,4.0,1156,9450,['broadway'],8173,1.0,5.0,63938.0,51,1.0,4,1
210,4.0,1932,9451,['broadway'],8173,1.0,4.0,48047.0,51,1.0,4,1
211,4.0,4442,9452,['broadway'],8173,1.0,4.0,20594.0,51,1.0,4,1
212,4.0,250,9453,['broadway'],8173,1.0,5.0,1421.0,51,1.0,4,1
213,4.0,641,9454,['broadway'],8173,1.0,5.0,27297.0,51,1.0,4,1
214,4.0,6141,9455,['broadway'],8173,1.0,5.0,56001.0,51,1.0,3,0
215,4.0,453,9456,['broadway'],8173,1.0,5.0,43891.0,51,1.0,4,1
216,4.0,1536,9457,['broadway'],8173,1.0,4.0,29671.0,51,1.0,4,1
217,4.0,981,9458,['broadway'],8,1.0,4.0,12468.0,51,1.0,4,1
218,4.0,484,9459,['broadway'],8173,1.0,5.0,1437.0,51,1.0,4,1
219,4.0,4062,9460,['broadway'],8173,1.0,5.0,43031.0,51,1.0,4,1
220,4.0,2345,9461,['broadway'],8173,1.0,5.0,55267.0,51,1.0,4,1
221,5.0,1374,9462,['broadway'],8173,1.0,4.0,62923.0,51,1.0,4,1
222,4.0,62,9463,['broadway'],8173,1.0,4.0,17720.0,51,1.0,4,1
223,4.0,2234,9464,['broadway'],8173,1.0,5.0,35470.0,51,1.0,4,1
224,4.0,188,9465,['broadway'],8173,1.0,5.0,1016.0,51,1.0,4,1
225,4.0,469,9466,['broadway'],8173,1.0,5.0,126688.0,51,1.0,4,1
226,4.0,1018,9467,['broadway'],8173,1.0,5.0,27563.0,51,1.0,4,1
227,4.0,2652,9468,['broadway'],8,1.0,5.0,18015.0,51,1.0,4,1
228,4.0,719,9469,['broadway'],8173,1.0,5.0,27470.0,51,1.0,4,1
229,4.0,892,9470,['broadway'],8,1.0,4.0,41172.0,51,1.0,4,1
230,4.0,2168,9471,['music'],8173,1.0,5.0,29655.0,51,1.0,4,1
231,4.0,1223,18397,['news'],8156,1.0,5.0,186812.0,51,1.0,4,1
232,4.0,1344,18398,['music'],8197,1.0,5.0,112406.0,51,1.0,4,1
233,4.0,1939,18399,['music'],8156,1.0,5.0,92140.0,51,1.0,4,1
234,4.0,580,18400,['movies'],8184,1.0,4.0,1500.0,51,1.0,4,1
235,4.0,812,18401,['movies'],8154,1.0,5.0,125905.0,51,1.0,3,0
236,4.0,1014,18402,['music'],8156,1.0,5.0,109188.0,51,1.0,4,1
237,4.0,251,18403,['music'],8181,1.0,5.0,26281.0,51,1.0,4,1
238,4.0,468,18405,['music'],8181,1.0,5.0,37249.0,51,1.0,5,1
239,5.0,2593,18429,['movies'],8181,1.0,5.0,277935.0,51,1.0,4,1
241,4.0,359,21170,['television'],8,1.0,5.0,208358.0,51,1.0,4,1
242,4.0,3690,21171,['movies'],8,1.0,5.0,29968.0,51,1.0,4,1
243,4.0,5248,21172,['television'],8283,1.0,5.0,29297.0,51,1.0,2,0
245,4.0,10061,21177,['movies'],8156,1.0,5.0,35594.0,51,1.0,4,1
246,4.0,4542,21178,['broadway'],8,1.0,5.0,31641.0,51,1.0,4,1
248,4.0,16514,21180,['television'],8156,1.0,5.0,56266.0,51,1.0,4,1
249,4.0,3228,21181,['broadway'],8197,1.0,5.0,12455.0,51,1.0,4,1
250,4.0,1156,21182,['television'],8197,1.0,5.0,121999.0,51,1.0,5,1
251,4.0,906,21183,['broadway'],8,1.0,5.0,40626.0,51,1.0,4,1
252,4.0,515,21184,['broadway'],8,1.0,5.0,65267.0,51,1.0,4,1
253,4.0,1846,21185,['broadway'],8,1.0,4.0,6985.0,51,1.0,4,1
254,4.0,6984,21186,['television'],8,1.0,5.0,78251.0,51,1.0,4,1
255,4.0,9295,21187,['broadway'],8,1.0,5.0,27984.0,51,1.0,3,0
256,4.0,1127,21188,['television'],8181,1.0,3.0,189188.0,51,1.0,4,1
257,3.0,5263,21189,['movies'],8,1.0,5.0,20845.0,51,1.0,4,1
258,4.0,4453,21191,['news'],8156,1.0,5.0,30859.0,51,1.0,4,1
259,5.0,1341,21192,['movies'],2,1.0,5.0,59469.0,51,1.0,2,0
260,4.0,2652,21250,['broadway'],8,1.0,4.0,46484.0,51,1.0,4,1
261,4.0,4123,21251,['broadway'],8195,1.0,3.0,93843.0,51,1.0,4,1
262,5.0,6831,21252,['news'],8,1.0,5.0,12047.0,51,1.0,5,1
263,3.0,4440,21253,['broadway'],8190,1.0,5.0,80484.0,51,0.0,3,0
264,4.0,1484,21266,['theatre'],8195,1.0,4.0,20032.0,51,1.0,3,0
265,4.0,9406,21267,['theatre'],8156,1.0,5.0,70468.0,51,1.0,2,0
266,4.0,15392,21268,['television'],8156,1.0,5.0,73359.0,51,1.0,4,1
267,4.0,12190,21269,['music'],8156,1.0,4.0,76812.0,51,1.0,4,1
268,1.0,250,21270,['theatre'],8071,1.0,5.0,37156.0,51,0.0,1,0
269,4.0,6077,21273,['theatre'],8,1.0,5.0,39812.0,51,1.0,4,1
270,3.0,1857,21274,['music'],1279,1.0,5.0,25906.0,51,0.0,2,0
271,5.0,641,21275,['theatre'],2388,1.0,5.0,2984.0,51,0.0,2,0
272,4.0,3360,21276,['theatre'],8156,1.0,5.0,45188.0,51,1.0,4,1
273,2.0,10250,21279,['television'],771,1.0,5.0,24437.0,51,0.0,2,0
274,5.0,4396,21280,['television'],8,1.0,5.0,92235.0,51,1.0,5,1
275,4.0,6432,21281,['television'],8,1.0,5.0,78828.0,51,1.0,5,1
276,4.0,984,21282,['television'],8,1.0,5.0,125922.0,51,1.0,4,1
277,5.0,7549,21283,['movies'],8,1.0,5.0,28547.0,51,1.0,5,1
278,4.0,1344,21290,['news'],8,1.0,5.0,5922.0,51,1.0,4,1
279,4.0,24424,21311,['news'],8154,1.0,5.0,70280.0,51,1.0,4,1
280,4.0,4714,21312,['movies'],2,1.0,5.0,50874.0,51,1.0,4,1
281,4.0,12023,21313,['news'],2,1.0,5.0,32829.0,51,1.0,4,1
282,4.0,8961,21314,['election'],2,1.0,5.0,39765.0,51,1.0,4,1
283,5.0,7730,21315,['election'],6,1.0,5.0,25610.0,51,1.0,4,1
284,4.0,10648,21316,['election'],6,1.0,5.0,134748.0,51,1.0,3,0
285,3.0,375,21317,['election'],6,1.0,5.0,2047.0,51,1.0,3,0
286,4.0,19864,21318,['television'],6,1.0,5.0,182047.0,51,1.0,4,1
287,4.0,19849,21319,['movies'],8,1.0,5.0,414595.0,51,1.0,4,1
288,4.0,5425,21320,['movies'],8,1.0,5.0,212672.0,51,1.0,5,1
289,3.0,19129,21321,['news'],8,1.0,5.0,53702.0,51,1.0,3,0
290,1.0,1267,21322,['election'],10,1.0,4.0,12875.0,51,1.0,3,0
291,5.0,2265,21323,['news'],10,1.0,5.0,16734.0,51,1.0,5,1
292,1.0,266,21324,['news'],10,1.0,5.0,26547.0,51,1.0,2,0
293,4.0,7598,21325,['news'],12,1.0,5.0,133359.0,51,1.0,4,1
294,5.0,6400,21326,"['music', 'television']",14,1.0,4.0,54188.0,51,1.0,2,0
295,5.0,0,21327,['religion'],15,1.0,5.0,2047.0,51,1.0,5,1
296,5.0,8429,21328,['television'],15,1.0,5.0,93219.0,51,1.0,5,1
297,4.0,12307,21329,['television'],2,1.0,4.0,146093.0,51,1.0,5,1
298,4.0,969,21330,['music'],8184,1.0,5.0,146173.0,51,1.0,4,1
299,4.0,2758,21342,['news'],8181,1.0,5.0,22750.0,51,1.0,4,1
300,4.0,1311,21343,['movies'],10,1.0,5.0,29063.0,51,1.0,4,1
302,4.0,9473,21345,['television'],8203,1.0,5.0,69719.0,51,1.0,4,1
303,4.0,13253,21346,"['election', 'broadway']",8182,1.0,5.0,183016.0,51,1.0,4,1
304,5.0,1203,21347,['broadway'],8205,1.0,5.0,21735.0,51,1.0,5,1
305,5.0,7717,21348,['broadway'],8,1.0,5.0,119250.0,51,1.0,5,1
306,5.0,3714,21349,['broadway'],8156,1.0,3.0,20750.0,51,1.0,5,1
307,5.0,1828,21350,['election'],8,1.0,1.0,13843.0,51,1.0,5,1
308,5.0,3183,21351,['iraq'],10,1.0,5.0,47172.0,51,1.0,4,1
309,3.0,625,481,['iraq'],2,1.0,4.0,4593.0,56,1.0,4,1
310,4.0,687,482,['studies'],2,1.0,4.0,44970.0,56,1.0,4,1
311,4.0,734,1541,['world'],10,1.0,5.0,142048.0,56,1.0,5,1
314,4.0,765,1452,['familar'],3,1.0,4.0,118515.0,56,1.0,4,1
316,3.0,782,1393,['studies'],15,1.0,3.0,76406.0,56,1.0,3,0
317,3.0,1488,1390,['familar'],11,1.0,4.0,114844.0,56,1.0,4,1
319,4.0,828,1337,['iraq'],5,1.0,5.0,144314.0,56,1.0,4,1
321,3.0,625,1317,['familar'],2,1.0,4.0,35249.0,56,1.0,4,1
322,3.0,764,1314,['iraq'],15,0.0,3.0,256169.0,56,1.0,3,0
326,4.0,687,1580,['world'],2,1.0,4.0,136220.0,56,1.0,4,1
330,4.0,1254,1656,"['people', 'weird', 'ebay', 'united']",8,1.0,4.0,124672.0,56,1.0,4,1
331,4.0,1858,1739,"['intersting', 'united']",5,1.0,5.0,118296.0,56,1.0,5,1
332,5.0,1171,1746,"['weather', 'united']",12,1.0,5.0,412735.0,56,1.0,5,1
333,5.0,3297,1747,"['people', 'health', 'biomedical']",2,1.0,5.0,74065.0,56,1.0,4,1
334,3.0,924,1752,"['privacy', 'holywood', 'copyrights', 'secutiry']",9,1.0,4.0,102203.0,56,1.0,3,0
335,4.0,1297,1754,"['politics', 'world']",5,1.0,5.0,107813.0,56,1.0,4,1
336,4.0,1044,1756,"['interesting', 'rights', 'world']",10,1.0,5.0,108829.0,56,1.0,4,1
337,4.0,470,1760,"['celebrities', 'people', 'united']",14,1.0,4.0,167530.0,56,1.0,4,1
339,4.0,1702,1790,"['people', 'science']",8,1.0,4.0,122813.0,56,1.0,4,1
340,4.0,375,1797,"['sad', 'world']",9,1.0,5.0,107860.0,56,1.0,4,1
341,4.0,1376,1803,"['interesting', 'science']",13,1.0,4.0,323329.0,56,1.0,4,1
342,4.0,1439,1805,"['politics', 'funny', 'world']",12,1.0,5.0,179938.0,56,1.0,4,1
344,4.0,1077,1814,"['interesting', 'studies']",10,1.0,5.0,68407.0,56,1.0,4,1
346,4.0,1484,1823,"['backup', 'united']",12,1.0,4.0,139922.0,56,1.0,4,1
347,5.0,2045,1827,"['rights', 'privacy', 'science']",5,1.0,5.0,67891.0,56,1.0,4,1
348,4.0,1188,1833,['law'],9,1.0,4.0,144765.0,56,1.0,4,1
349,4.0,1283,1834,"['accesories', 'music', 'technology', 'united']",3,1.0,4.0,116702.0,56,1.0,4,1
350,5.0,782,1837,"['rights', 'weird', 'science']",5,1.0,5.0,186907.0,56,1.0,5,1
351,4.0,595,1838,"['people', 'science']",10,1.0,5.0,118329.0,56,1.0,5,1
352,4.0,374,1846,"['politics', 'world']",9,1.0,5.0,201610.0,56,1.0,4,1
353,3.0,658,1856,"['alqaeda', 'world']",12,1.0,4.0,104328.0,56,1.0,4,1
354,4.0,1233,1858,"['people', 'science']",13,1.0,4.0,107438.0,56,1.0,4,1
355,4.0,532,1859,"['secutiry', 'internet', 'science']",9,1.0,5.0,180201.0,56,1.0,4,1
356,4.0,16,1864,"['amazing', 'studies']",5,1.0,5.0,206266.0,56,1.0,5,1
357,4.0,891,1865,"['technology', 'health', 'biomedical']",11,1.0,5.0,196798.0,56,1.0,5,1
358,4.0,1564,1867,"['suicide bombings', 'sad', 'alqaeda', 'law', 'usa', 'current issues', 'iraq']",3,1.0,4.0,63672.0,56,1.0,5,1
359,4.0,2434,1912,"['weather', 'usa', 'current issues']",2,1.0,4.0,257141.0,56,1.0,4,1
360,4.0,7472,1913,"['show business', 'celebrities', 'people', 'law']",2,1.0,4.0,114000.0,56,1.0,4,1
361,4.0,2390,1914,"['suicide bombings', 'sad', 'alqaeda', 'politics', 'secutiry', 'current issues', 'iraq']",2,1.0,4.0,155687.0,56,1.0,4,1
362,4.0,7969,1915,"['interesting', 'politics', 'usa']",2,1.0,4.0,243500.0,56,1.0,4,1
363,4.0,2876,1916,"['australia', 'politics', 'world issues', 'copyrights', 'usa']",2,1.0,4.0,224250.0,56,1.0,4,1
364,4.0,5406,1917,"['violence', 'people', 'secutiry', 'current issues']",3,1.0,4.0,91907.0,56,1.0,4,1
365,4.0,4248,1918,"['rights', 'world issues', 'people', 'secutiry']",3,1.0,4.0,37266.0,56,1.0,4,1
366,4.0,1673,1919,['economy'],3,1.0,4.0,58125.0,56,1.0,4,1
367,3.0,8935,1920,"['familar topic', 'automotive industry', 'economy']",4,1.0,2.0,209672.0,56,1.0,2,0
368,3.0,3407,1921,"['shares', 'economy']",4,1.0,3.0,55140.0,56,1.0,3,0
369,3.0,2097,1922,"['familar topic', 'shares', 'economy', 'usa']",4,1.0,3.0,51813.0,56,1.0,3,0
370,3.0,2551,1923,"['show business', 'holywood', 'technology']",5,1.0,3.0,105031.0,56,1.0,3,0
371,4.0,1251,1924,"['shares', 'rights', 'science ']",5,1.0,4.0,16547.0,56,1.0,4,1
372,3.0,1064,1925,"['rights', 'science ']",5,1.0,3.0,38344.0,56,1.0,3,0
373,4.0,2514,1926,"['studies conducted', 'world issues', 'science ']",5,1.0,4.0,75250.0,56,1.0,3,0
374,4.0,2142,1927,"['familar topic', 'violence', 'alqaeda', 'people', 'secutiry', 'usa', 'current issues', 'iraq']",5,1.0,4.0,54515.0,56,1.0,4,1
375,4.0,2204,1928,"['familar topic', 'politics']",6,1.0,4.0,151843.0,56,1.0,4,1
376,3.0,4238,1929,"['familar topic', 'economy', 'violence', 'backup', 'usa', 'current issues', 'iraq']",6,1.0,3.0,93797.0,56,1.0,3,0
377,3.0,4404,1930,"['honor', 'people', 'usa']",6,1.0,4.0,150000.0,56,1.0,4,1
378,4.0,4098,1931,"['sports', 'people', 'health']",6,1.0,4.0,50843.0,56,1.0,4,1
379,3.0,2655,1932,"['honor', 'show business', 'movies', 'celebrities', 'people']",7,1.0,3.0,68360.0,56,1.0,3,0
380,4.0,1643,1933,"['show business', 'movies', 'celebrities']",8,1.0,4.0,66125.0,56,1.0,4,1
381,4.0,4851,1934,"['show business', 'movies', 'celebrities', 'people']",8,1.0,4.0,30375.0,56,1.0,4,1
382,4.0,2531,1935,"['honor', 'interesting', 'amazing', 'people']",8,1.0,4.0,101266.0,56,1.0,3,0
383,4.0,6730,1936,"['interesting', 'studies conducted', 'people', 'health']",8,1.0,4.0,145906.0,56,1.0,4,1
384,4.0,2924,1937,"['familar topic', 'amazing', 'science ']",9,1.0,4.0,72516.0,56,1.0,4,1
385,5.0,1875,1938,"['interesting', 'amazing', 'people', 'science ']",9,1.0,4.0,77579.0,56,1.0,4,1
386,4.0,1013,1939,"['interesting', 'science ']",9,1.0,5.0,52718.0,56,1.0,5,1
387,4.0,4219,1940,"['studies conducted', 'health']",9,1.0,5.0,103109.0,56,1.0,4,1
388,4.0,2934,1941,"['women', 'studies conducted', 'health', 'biomedical']",9,1.0,4.0,95125.0,56,1.0,4,1
389,4.0,1752,1942,"['interesting', 'studies conducted', 'health', 'usa']",9,1.0,4.0,117125.0,56,1.0,4,1
390,4.0,2280,1943,"['familar topic', 'intersting', 'rights', 'people', 'weird', 'ebay']",9,1.0,5.0,37999.0,56,1.0,4,1
391,4.0,1436,1945,['interesting'],10,1.0,4.0,20593.0,56,1.0,4,1
392,4.0,2374,1946,"['interesting', 'politics', 'people', 'science ']",10,1.0,5.0,62156.0,56,1.0,4,1
393,4.0,1798,1947,"['security', 'worlid issues']",10,1.0,5.0,19046.0,56,1.0,4,1
394,4.0,3715,2294,"['usa', 'economy']",2,1.0,4.0,129517.0,56,1.0,4,1
395,3.0,430,2295,"['usa', 'security']",2,1.0,3.0,33268.0,56,1.0,3,0
396,4.0,710,2296,['familar topic'],2,1.0,4.0,111370.0,56,1.0,3,0
397,3.0,531,2297,"['security', 'worlid issues']",3,1.0,3.0,3064.0,56,1.0,3,0
398,4.0,1211,2298,"['military', 'law', 'worlid issues']",3,1.0,4.0,86675.0,56,1.0,4,1
399,3.0,2184,2299,['familar topic'],3,1.0,3.0,57863.0,56,1.0,3,0
400,3.0,350,2300,"['terrorists', 'security', 'worlid issues']",3,1.0,3.0,1974.0,56,1.0,3,0
401,4.0,1153,2301,['familar topic'],3,1.0,4.0,130547.0,56,1.0,4,1
402,2.0,561,2302,['familar topic'],4,1.0,2.0,2243.0,56,1.0,2,0
403,2.0,730,2303,['familar topic'],4,1.0,2.0,1752.0,56,1.0,2,0
404,2.0,782,2304,"['rights', 'law', 'economy', 'worlid issues']",4,1.0,2.0,3175.0,56,1.0,2,0
405,4.0,1701,2305,"['computing', 'technology', 'rights', 'law', 'economy']",5,1.0,4.0,133171.0,56,1.0,4,1
406,4.0,5611,2306,"['people', 'law', 'usa']",5,1.0,4.0,60547.0,56,1.0,4,1
407,4.0,2344,2307,"['politics', 'usa', 'economy']",6,1.0,4.0,65104.0,56,1.0,4,1
408,4.0,2162,2308,"['politics', 'rights', 'law', 'usa', 'security', 'worlid issues']",6,1.0,4.0,62981.0,56,1.0,4,1
409,4.0,1051,2309,['sports'],6,1.0,4.0,93515.0,56,1.0,4,1
411,3.0,1051,2311,"['familar topic', 'war', 'politics', 'iraq']",7,1.0,3.0,25276.0,56,1.0,3,0
412,3.0,40,2752,"['world issues', 'health']",2,1.0,3.0,61068.0,56,1.0,3,0
413,4.0,561,2753,"['law', 'usa', 'celebrities']",2,1.0,4.0,91693.0,56,1.0,4,1
414,3.0,281,2754,"['world issues', 'health']",2,1.0,3.0,11067.0,56,1.0,3,0
415,4.0,1222,2755,"['people', 'sad', 'usa', 'war']",2,1.0,4.0,149355.0,56,1.0,4,1
416,4.0,691,2756,"['familar topic', 'world issues']",2,1.0,4.0,187450.0,56,1.0,4,1
417,4.0,350,2757,"['economy', 'usa']",3,1.0,4.0,53978.0,56,1.0,4,1
418,3.0,370,2758,"['economy', 'usa', 'iraq']",4,1.0,3.0,44013.0,56,1.0,3,0
419,3.0,371,2759,"['technology', 'economy', 'usa']",4,1.0,3.0,15944.0,56,1.0,3,0
420,3.0,141,2760,"['familar topic', 'technology', 'usa']",5,1.0,3.0,81046.0,56,1.0,3,0
421,3.0,260,2761,"['rights', 'law', 'celebrities']",5,1.0,3.0,37654.0,56,1.0,3,0
422,3.0,291,2762,"['familar topic', 'world issues', 'health']",8,1.0,3.0,110508.0,56,1.0,3,0
423,4.0,300,2763,['science '],9,1.0,4.0,48319.0,56,1.0,4,1
424,4.0,462,2764,['science '],9,1.0,4.0,54297.0,56,1.0,4,1
425,4.0,240,2765,['science '],9,1.0,4.0,28352.0,56,1.0,4,1
426,4.0,251,2766,['science '],9,1.0,4.0,24805.0,56,1.0,4,1
427,4.0,290,2767,"['show business', 'interesting', 'health']",9,1.0,5.0,51164.0,56,1.0,4,1
428,4.0,30,2768,"['interesting', 'people']",9,1.0,4.0,101767.0,56,1.0,4,1
430,4.0,291,2770,"['funny', 'interesting']",10,1.0,4.0,15412.0,56,1.0,4,1
431,4.0,250,2771,"['interesting', 'people']",10,1.0,4.0,47109.0,56,1.0,4,1
432,4.0,361,2772,"['animals', 'interesting', 'people']",10,1.0,5.0,75109.0,56,1.0,4,1
433,4.0,240,2773,"['interesting', 'people']",10,1.0,4.0,25677.0,56,1.0,4,1
434,4.0,210,2774,"['not so my interest', 'art']",10,1.0,4.0,28942.0,56,1.0,4,1
435,4.0,300,2775,['interesting'],10,1.0,4.0,37214.0,56,1.0,4,1
436,4.0,330,2776,"['informational', 'interesting']",11,1.0,4.0,58564.0,56,1.0,4,1
437,4.0,540,2777,"['safety', 'science ']",11,1.0,5.0,74206.0,56,1.0,4,1
438,4.0,320,2778,"['not so my interest', 'politics']",11,1.0,4.0,52937.0,56,1.0,4,1
439,3.0,271,2779,"['i agree', 'informational']",12,1.0,3.0,47959.0,56,1.0,3,0
440,4.0,732,2780,['familar topic'],12,1.0,5.0,161272.0,56,1.0,4,1
441,3.0,541,2781,"['i agree', 'usa', 'war', 'politics', 'iraq']",12,1.0,3.0,10074.0,56,1.0,2,0
442,4.0,411,2782,['not so my interest'],12,1.0,4.0,47338.0,56,1.0,4,1
443,3.0,280,2783,"['informational', 'world issues', 'war']",12,1.0,3.0,29632.0,56,1.0,3,0
444,4.0,630,2784,"['usa', 'war']",12,1.0,4.0,35060.0,56,1.0,4,1
